,iata_code,icao_code,country_code,country_name,latitude,longitude,elev_ft,nrunways,longest_runway_ft,name,traffic_region,source
347,JAN,KJAN,US,United States,32.30972222,-90.07583333,346.0,2.0,8500.0,,North America,MIT_AEIC
348,POS,TTPP,TT,Trinidad and Tobago,10.59166666,-61.33972222,58.0,1.0,10500.0,,Central America/ Caribbean,MIT_AEIC
349,HYA,KHYA,US,United States,41.66583333,-70.28055555,55.0,2.0,5425.0,,North America,MIT_AEIC
350,UIO,SEQU,EC,Ecuador,-0.13777777,-78.48611111,9228.0,1.0,10236.0,,South America,MIT_AEIC
351,BEG,LYBE,CS,Serbia and Montenegro,44.81833333,20.31305555,336.0,1.0,11155.0,,Europe,MIT_AEIC
352,BLL,EKBI,DK,Denmark,55.74027777,9.15277777,247.0,1.0,10172.0,,Europe,MIT_AEIC
353,CIA,LIRA,IT,Italy,41.79944444,12.59333333,427.0,1.0,7242.0,,Europe,MIT_AEIC
354,AMM,OJAI,JO,Jordan,31.72361111,35.99527777,2395.0,2.0,11969.0,,Middle East,MIT_AEIC
355,SGF,KSGF,US,United States,37.23999999,-93.38499999,1268.0,2.0,8000.0,,North America,MIT_AEIC
356,ORK,EICK,IE,Ireland,51.84083333,-8.48888888,502.0,2.0,6998.0,,Europe,MIT_AEIC
357,YYJ,CYYJ,CA,Canada,48.64861111,-123.4236111,63.0,3.0,7000.0,,North America,MIT_AEIC
358,SBH,TFFJ,GP,Guadeloupe,17.9,-62.85,48.0,1.0,2133.0,,Central America/ Caribbean,MIT_AEIC
359,CMB,VCBI,LK,Sri Lanka,7.17499999,79.88472222,30.0,1.0,11000.0,,Central and South-West Asia,MIT_AEIC
360,BRE,EDDW,DE,Germany,53.04666666,8.78999999,14.0,2.0,6693.0,,Europe,MIT_AEIC
361,TZA,XXXX,BZ,Belize,17.51555555,-88.19583333,8.0,1.0,1825.0,,Central America/ Caribbean,MIT_AEIC
362,SHJ,OMSJ,AE,United Arab Emirates,25.34583333,55.39583333,111.0,1.0,13320.0,,Middle East,MIT_AEIC
363,PTP,TFFR,GP,Guadeloupe,16.26749999,-61.52638888,36.0,1.0,10703.0,,Central America/ Caribbean,MIT_AEIC
364,TUN,DTTA,TN,Tunisia,36.8525,10.22944444,22.0,2.0,10500.0,,North Africa,MIT_AEIC
365,RIX,EVRA,LV,Latvia,57.01666666,24.05,34.0,1.0,8366.0,,Europe,MIT_AEIC
366,NTE,LFRS,FR,France,47.15833333,-1.60972222,90.0,1.0,9514.0,,Europe,MIT_AEIC
367,OTZ,PAOT,US,United States,66.88805555,-162.6058333,14.0,2.0,5900.0,,North America,MIT_AEIC
368,TAS,UTTT,UZ,Uzbekistan,41.31666666,69.38333333,1416.0,2.0,13123.0,,Central and South-West Asia,MIT_AEIC
369,CLO,SKCL,CO,Colombia,3.54611111,-76.38499999,3162.0,1.0,9842.0,,South America,MIT_AEIC
370,BMA,ESSB,SE,Sweden,59.35277777,17.94638888,47.0,1.0,5472.0,,Europe,MIT_AEIC
