,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
476,DC87,4,Jet,H,CFM56-2C1,DC87,1CM003,CFM56-2-C5,,TF,6,23.5,97.86,0.04,0.05,0.08,1.83,378,0.9,0.9,4.2,30.7,6578,18.5,16,8.2,4,3906,6,3,2.6,2.2,6,Jet A,0.985,0.819,0.311,0.128,424,95.98-97.49,279 - 286,.002-.009,CFM International,icao,,,,,,,TRUE
477,DC91,2,Jet,M,BR700-715A1-30,B712,4BR005,BR700-715A1-30,Improved fuel injector,MTF,4.68,28.75,83.23,0.05,0.06,0.02,0.11,25,0.66,0.63,4.05,19.72,3390,20.97,16.43,8.75,3.95,3340,4.33,3.96,0.77,0.11,4.33,AVTUR,0.831,0.686,0.24,0.1,339,100.9-101.3,294.4-297.2,.0072-.0075,Rolls-Royce Deutschland,icao,,,,,,,TRUE
478,DC92,2,Jet,M,JT8D-11,DC94,1PW008,JT8D-11,,MTF,1,17.17,66.72,0.4,0.45,1.4,10,2455,1.2,1.9,9.4,35,8983,18.9,14.6,5.8,2.75,3740,,,,,23,Jet A,1.121,0.9136,0.3339,0.1455,475,-,262 - 300,-,Pratt & Whitney,icao,,,,,,,TRUE
479,DC93,2,Jet,M,JT8D-11,DC93,1PW008,JT8D-11,,MTF,1,17.17,66.72,0.4,0.45,1.4,10,2455,1.2,1.9,9.4,35,8983,18.9,14.6,5.8,2.75,3740,,,,,23,Jet A,1.121,0.9136,0.3339,0.1455,475,-,262 - 300,-,Pratt & Whitney,icao,,,,,,,TRUE
480,DC94,2,Jet,M,JT8D-11,DC94,1PW008,JT8D-11,,MTF,1,17.17,66.72,0.4,0.45,1.4,10,2455,1.2,1.9,9.4,35,8983,18.9,14.6,5.8,2.75,3740,,,,,23,Jet A,1.121,0.9136,0.3339,0.1455,475,-,262 - 300,-,Pratt & Whitney,icao,,,,,,,TRUE
481,DC95,2,Jet,M,JT8D-11,DC94,1PW008,JT8D-11,,MTF,1,17.17,66.72,0.4,0.45,1.4,10,2455,1.2,1.9,9.4,35,8983,18.9,14.6,5.8,2.75,3740,,,,,23,Jet A,1.121,0.9136,0.3339,0.1455,475,-,262 - 300,-,Pratt & Whitney,icao,,,,,,,TRUE
482,DEFI,1,Piston,L,IO-550-B,BE36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
483,DFLY,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
484,DG1T,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
485,DG40,1,Piston,L,Stamo MS 1500,SF25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
486,DG50,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
487,DG60,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
488,DG80,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
489,DH2T,1,Turboprop,L,PT6A-34,KODI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
490,DH60,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
491,DH80,1,Piston,L,IO-540-AB1A5,C182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
492,DH82,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
493,DH83,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
494,DH85,1,Piston,L,TIO-540-AJ1A,T206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
495,DH87,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
496,DH88,2,Piston,L,IO-520-C,BE58,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
497,DH89,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
498,DH8A,2,Turboprop,M,PW120A,DH8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
499,DH8B,2,Turboprop,M,PW123B,DH8C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
500,DH8C,2,Turboprop,M,PW123B,DH8C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
501,DH8D,2,Turboprop,M,PW150A,DH8D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
502,DHA3,1,Piston,L,IO-520-D,C188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
503,DHC1,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
504,DHC2,1,Piston,L,IO-540-AB1A5,C182,PF12,IO-540-T4A5D,,,,,,13.9,14,16.3,45.6,,1010,978,819,1000,,3,3,6,1,,,,,,,,0.0167,0.0148,0.0074,0.0025,,,,,,foca,IO-540,260,0.1,0.07,0.04,0.05,TRUE
505,DHC3,1,Piston,L,IO-540-AB1A5,C182,PF12,IO-540-T4A5D,,,,,,13.9,14,16.3,45.6,,1010,978,819,1000,,3,3,6,1,,,,,,,,0.0167,0.0148,0.0074,0.0025,,,,,,foca,IO-540,260,0.1,0.07,0.04,0.05,TRUE
506,DHC4,2,Turboprop,M,Dart 532-7,F27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
507,DHC5,2,Turboprop,M,TPE331-11U-601G,SW4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
508,DHC6,2,Turboprop,L,PT6A-27,BE99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
509,DHC7,2,Turboprop,M,PW124,AT72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
510,DIMO,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
511,DINO,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
512,DISC,1,Piston,L,Stamo MS 1500,SF25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
513,DO27,1,Piston,L,TIO-540-AJ1A,T206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
514,DO28,2,Piston,L,AE330 E4P-C,DA62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
515,DOVE,2,Piston,L,TIO-540-A2C,PA31,PF01,IO-550-B,,,,,,12.65,12.32,11.52,42.62,,826.59,795.04,1064.62,1163.39,,6.64,7.31,2.7,0.52,,,,,,,,0.0182,0.018,0.0098,0.0038,,,,,,foca,IO-550,300,0.1,0.07,0.04,0.05,TRUE
516,DR10,1,Piston,L,Rotax 912 ULS,MAGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
517,DR22,1,Piston,L,O-320-D3G,P28A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
518,DR30,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
519,DR40,1,Piston,L,AE300 E4-A,DA40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
520,DT45,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
521,DTA1,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
522,DTA2,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
523,DUB2,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
524,DUOD,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
525,DV1,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
526,DV2,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
527,DV20,1,Piston,L,IO-360-L2A,C172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
528,E110,2,Turboprop,L,TPE331-5-252D,D228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
529,E120,2,Turboprop,M,PW118,E120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
530,E121,2,Turboprop,L,TPE331-10-501M,MU2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
531,E135,2,Jet,M,AE 3007A1/3,E135,6AL019,AE3007A3,Type 3 (reduced emissions),MTF,4.72,17.2,33,0.03,0.03,0.03,4.1,289,0.5,0.5,7.65,41.29,3111,15.4,13.48,6.93,4.12,1232,0.01,0.01,0.01,0.01,0.01,Jet A,0.3583,0.2995,0.1076,0.0448,150,98.9 - 99.0,291 - 301,0.009 - 0.012,Rolls-Royce Corporation,icao,,,,,,,TRUE
532,E145,2,Jet,M,AE 3007A1,E145,4AL003,AE3007A,,MTF,5.23,18.08,33.73,0.25,0.29,0.64,2.51,226,0.75,0.92,3.28,17.35,1468,20.54,17.47,7.79,3.83,1563,1,0,0,0,1,Jet A/JP-8,0.377,0.315,0.117,0.049,162,101.3,288,0.0063,Rolls-Royce Corporation,icao,,,,,,,TRUE
533,E170,2,Jet,M,CF34-8E5,E170,8GE108,CF34-8E5,LEC,TF,5.13,23.18,59.68,0.02,0.02,0.06,0.13,18,0.64,0.57,4.23,18.16,2066,14.77,12.65,10.77,4.61,2223,8.63,2.24,0,0,8.63,Jet A,0.652,0.533,0.18,0.064,241,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
534,E190,2,Jet,M,CF34-10E6,E190,11GE146,CF34-10E7,2253M21-PFN,TF,5.09,27.2,83.7,0.05,0.09,0.1,4.02,568,0.89,0.77,4.02,41.73,6067,19.68,16.22,7.94,3.69,3214,12.74,6.91,0.1,0.5,12.7,Jet A1,0.87,0.717,0.239,0.088,326,97.2-97.9,292-298,0.0053 - 0.0078,GE Aircraft Engines,icao,,,,,,,TRUE
535,E195,2,Jet,M,CF34-10E7,E195,11GE146,CF34-10E7,2253M21-PFN,TF,5.09,27.2,83.7,0.05,0.09,0.1,4.02,568,0.89,0.77,4.02,41.73,6067,19.68,16.22,7.94,3.69,3214,12.74,6.91,0.1,0.5,12.7,Jet A1,0.87,0.717,0.239,0.088,326,97.2-97.9,292-298,0.0053 - 0.0078,GE Aircraft Engines,icao,,,,,,,TRUE
536,E2,2,Turboprop,M,AE2100-D2,C27J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
537,E200,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
538,E230,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
539,E275,2,Jet,M,CF34-8E5A1,E75L,8GE105,CF34-8E5A1,LEC,TF,5.13,24.12,62.49,0.02,0.02,0.06,0.13,18,0.71,0.57,4.05,17.3,2026,15.81,13.15,11.06,4.7,2419,13.64,3.49,0,0,13.64,Jet A,0.691,0.563,0.188,0.066,251,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
540,E290,2,Jet,M,PW1919G,E290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
541,E295,2,Jet,M,CFM56-7B20 DAC,B736,3CM030,CFM56-7B20,,TF,5.4,22.61,91.63,0.1,0.1,0.1,3.1,504,0.6,0.5,3.2,25.9,4324,20.5,17.4,9.5,4.3,3829,11.4,8,0,0,11.4,Jet A,0.913,0.761,0.274,0.1,361,97.8-98.0,294-297,.0100-.0157,CFM International,icao,,,,,,,TRUE
542,E29E,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
543,E300,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
544,E314,1,Turboprop,L,PT6A-68,TEX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
545,E350,1,Turboprop,L,PT6A-66D,TBM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
546,E35L,2,Jet,M,AE 3007A1E,E35L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
547,E3CF,2,Jet,H,CF6-80A2,B762,1GE012,CF6-80A2,,TF,5,30.1,216.5,0.3,0.37,0.45,6.28,1659,1,1.1,2.8,28.2,7398,29.6,26.6,10.8,3.4,11878,12,10,2,2,12,Jet A,2.254,1.885,0.641,0.15,731,99.08-99.78,275 - 277,0.002,GE Aircraft Engines,icao,,,,,,,TRUE
548,E3TF,2,Jet,H,CF6-80A2,B762,1GE012,CF6-80A2,,TF,5,30.1,216.5,0.3,0.37,0.45,6.28,1659,1,1.1,2.8,28.2,7398,29.6,26.6,10.8,3.4,11878,12,10,2,2,12,Jet A,2.254,1.885,0.641,0.15,731,99.08-99.78,275 - 277,0.002,GE Aircraft Engines,icao,,,,,,,TRUE
549,E400,2,Piston,L,TSIO-360KB,PA34,P131,TSIO-360C,,,,,,9.17,9.55,11.31,138.26,,1082,960.8,995.1,592.2,,2.71,4.32,3.77,1.91,,,,,,,,0.0168,0.0125,0.0077,0.0014,,,,,,faeed160,TSIO-360-...,225,0.1,0.07,0.04,0.05,TRUE
550,E45X,2,Jet,M,AE 3007A1E,E45X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
551,E500,1,Turboprop,L,M250-B17F/2,E500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
552,E50P,2,Jet,L,PW617F,E50P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
553,E530,2,Jet,M,Larzac 04-C5,AJET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
554,E545,2,Jet,M,AS907-3-1E,E545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
555,E550,2,Jet,M,AS907-3-1E,E550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
556,E55P,2,Jet,M,PW535E,E55P,1AS001,TFE731-2-2B,,TF,2.64,13.9,15.6,0.114,0.128,4.26,20.04,823,1.394,2.03,22.38,58.6,2612,15.25,13.08,5.9,2.82,630,,,,,,ASTM D1655-73T,0.205,0.173,0.067,0.024,85,96.7-98.1,285 - 288,.0066-.0087,Allied Signal,icao,,,,,,,TRUE
557,E6,4,Jet,H,CFM56-2C1,DC87,1CM003,CFM56-2-C5,,TF,6,23.5,97.86,0.04,0.05,0.08,1.83,378,0.9,0.9,4.2,30.7,6578,18.5,16,8.2,4,3906,6,3,2.6,2.2,6,Jet A,0.985,0.819,0.311,0.128,424,95.98-97.49,279 - 286,.002-.009,CFM International,icao,,,,,,,TRUE
558,E737,2,Jet,M,CFM56-7B26/27,B738,8CM051,CFM56-7B26,,TF,5.1,27.61,116.99,0.1,0.1,0.1,1.9,361,0.2,0.6,1.6,18.8,3533,28.8,22.5,10.8,4.7,6149,14.7,11.9,0,0,14.7,Jet A,1.221,0.999,0.338,0.113,441,97.8-98.0,294-297,.0100-.0157,CFM International,icao,,,,,,,TRUE
559,E75L,2,Jet,M,CF34-8E5A1,E75L,8GE105,CF34-8E5A1,LEC,TF,5.13,24.12,62.49,0.02,0.02,0.06,0.13,18,0.71,0.57,4.05,17.3,2026,15.81,13.15,11.06,4.7,2419,13.64,3.49,0,0,13.64,Jet A,0.691,0.563,0.188,0.066,251,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
560,E75S,2,Jet,M,CF34-8E5A1,E75S,8GE105,CF34-8E5A1,LEC,TF,5.13,24.12,62.49,0.02,0.02,0.06,0.13,18,0.71,0.57,4.05,17.3,2026,15.81,13.15,11.06,4.7,2419,13.64,3.49,0,0,13.64,Jet A,0.691,0.563,0.188,0.066,251,97.1 to 98.1,284 to 292,0.00470 to 0.00727,GE Aircraft Engines,icao,,,,,,,TRUE
561,E767,2,Jet,H,PW4060,B763,12PW101,PW4060,Phase III,TF,4.7,29.7,266.9,0.08,0.06,0.1,11.63,3775.9,0.58,0.49,2.04,44.46,14815.2,31.74,25.03,11.91,3.72,13332.8,8,5.6,0.4,0.1,8,Jet A,2.567,2.036,0.696,0.206,865,101.90-102.55,173.21-279.79,0.002189-0.003801,Pratt & Whitney,icao,,,,,,,TRUE
562,EA40,2,Jet,L,PW610F-A,EA50,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
563,EA50,2,Jet,L,PW610F-A,EA50,1PW035,JT15D-1 series,,TF,3.3,9.76,9.79,0.01,0.01,4.43,50.5,1866,2.65,3.5,40.5,132,5306,7.6,6.77,3.44,1.75,263,15,,,,15,Jet A-1,0.148,0.124,0.051,0.023,71,100.526,290,0.0079,Pratt & Whitney (Canada),icao,,,,,,,TRUE
564,EAGX,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
565,EB29,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
566,EBOY,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
567,ECHO,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
568,EDGE,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
569,EFAN,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
570,EFOX,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
571,EFUS,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
572,EGRT,2,Jet,L,CJ610-8A,LJ25,1PW037,"JT15D-5, -5A, -5B",,TF,2.1,12.3,12.9,0,1.3,11.7,119.1,5715,0,1.15,38.6,119.2,6142,11.13,10.08,4.93,1.66,481,18.5,,,,18.5,Jet A-1,0.2054,0.1727,0.066,0.0296,93,99.42,280.3,0.0036,Pratt & Whitney (Canada),icao,,,,,,,TRUE
573,ELIT,2,Jet,L,JT15D-4,C551,1PW036,JT15D-4 series,,TF,2.68,10.1,11.12,0.09,0.19,5.15,40,1706,2.1,3.18,32,97,4478,9.23,8.56,5.29,2.63,409,14.1,,,,14.1,Jet A-1,0.1697,0.143,0.059,0.0261,81,103.146,257,0.0015,Pratt & Whitney (Canada),icao,,,,,,,TRUE
574,ELPS,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
575,ELSP,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
576,ELST,1,Piston,L,Stamo MS 1500,SF25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
577,EM10,1,Jet,L,AI-25TL,L39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
578,EPIC,2,Turboprop,L,PT6A-41,PAY3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
579,EPX1,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
580,ERAC,1,Piston,L,TIO-540-AB1AD,TB21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
581,ERCO,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
582,ESCA,1,Turboprop,L,PT6A-64,TBM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
583,ETA,1,Piston,L,Rotax 912 S3,DIMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
584,ETAR,1,Jet,M,F405-RR-401,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
585,EUFI,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
586,EUPA,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
587,EV97,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
588,EVIC,1,Jet,L,FJ33-5A,SF50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
589,EVOP,2,Piston,L,TSIO-520-N,C340,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
590,EVOT,1,Turboprop,L,PT6A-64,TBM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
591,EVSS,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
592,EXPR,1,Piston,L,IO-540-C4D5D,TB20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
593,EZFL,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
594,EZFT,1,Piston,L,Rotax 912 UL,EV97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
595,EZHV,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
596,EZKC,1,Piston,L,Rotax 912 UL,SVNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
597,F1,1,Jet,M,F405-RR-401,HAWK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
598,F100,2,Jet,M,Tay 620-15,F100,1RR020,TAY Mk620-15 ,,MTF,3,16.1,61.6,0.8,0.3,0.9,3.4,684,0.7,0.8,3.9,24.1,4440,21.1,16.8,5.7,2.5,2814,21.3,18.86,13.1,3.36,21.3,AVTUR,0.76,0.63,0.23,0.11,342,100,288,0.005,Rolls Royce plc,icao,,,,,,,TRUE
599,F104,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
600,F106,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
601,F111,2,Jet,M,F100-PW-229,F15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
602,F117,2,Jet,M,TF34-GE-100,A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
603,F14,2,Jet,M,F100-PW-229,F15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
604,F15,2,Jet,M,F100-PW-229,F15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
605,F16,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
606,F16X,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
607,F18H,1,Jet,M,F100-PW-229,F16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
